"Tytuł","Opis","Cena","Producent","Ocena","Liczba_opinii","Skład","Stopień_palenia","Zawartość_kofeiny","Rodzaj","Palarnia","Przeznaczenie","Opakowanie","Sposób_przygotowania","Crema","Wyczuwalne_smaki","Intensywność_smaku","Gorycz","Kwasowość","Słodycz","Pochodzenie_ziaren","Blend_czy_Single","Polecana_do","Kawa_Specialty","Waga_g","Cena_za_gram","Przedział_cenowy","Skorygowana_ocena"
"ZESTAW - Kawa ziarnista Costa Coffee Colombian Roast 2x500g","Kolumbijska arabika Single Origin, która posiada przyjemnie słodki smak karmelu, miodu i pomarańczy. Costa Coffee Colombian Roast jest polecana do przygotowania espresso z ekspresu ciśnieniowego.",67.88,"COSTA COFFEE",5,4," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Anglia"," Do biura Do domu Do ekspresu automatycznego Do ekspresu kolbowego"," 1000g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Karmel Miód Owoce",0.6,0.2,0.6,1," Kolumbia"," Single / Jednorodne"," Espresso Kawa czarna"," Nie",1000,0.06788,"Mid-range (0.05 - 0.1)",10
"ZESTAW - Kawa ziarnista Costa Coffee Bright Blend  2x1kg","Costa Coffee Bright Blend to mieszanka wysokogatunkowej arabiki pochodzącej z Ameryki Południowej. Jest to kawa ziarnista, która posiada słodki smak i może być przygotowywana w formie espresso oraz cappuccino.",123.46,"COSTA COFFEE",5,19," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Anglia"," Do biura Do domu Do ekspresu automatycznego Do ekspresu kolbowego"," 2000g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Czekolada Karmel Owoce cytrusowe",0.6,0.2,0.2,1," Ameryka Południowa"," Blend / Mieszanki"," Espresso Kawa czarna Latte Cappuccino"," Nie",2000,0.06173,"Mid-range (0.05 - 0.1)",21.7944947177034
"ZESTAW - Kawa ziarnista Costa Coffee Bright Blend 3x1kg","Costa Coffee Bright Blend to mieszanka wysokogatunkowej arabiki pochodzącej z Ameryki Południowej. Jest to kawa ziarnista, która posiada słodki smak i może być przygotowywana w formie espresso oraz cappuccino.",185.19,"COSTA COFFEE",5,11," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Anglia"," Do biura Do domu Do ekspresu automatycznego Do ekspresu kolbowego"," 3000g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Czekolada Karmel Owoce cytrusowe",0.6,0.2,0.2,1," Ameryka Południowa"," Blend / Mieszanki"," Espresso Kawa czarna Latte Cappuccino"," Nie",3000,0.06173,"Mid-range (0.05 - 0.1)",16.583123951777
"Kawa ziarnista The White Bear Kolumbia Medellin 250g","Wysokiej jakości kolumbijska arabika, która jest wypalana w polskiej palarni kawy. The White Bear Kolumbia Medellin posiada doskonale zrównoważony smak i jest polecana do przygotowania espresso w ekspresach ciśnieniowych.",46,"THE WHITE BEAR",4.56,9," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Kakao Pomarańcze Wanilia",0.6,0.2,0.6,0.6," Kolumbia"," Single / Jednorodne"," Espresso Kawa czarna"," Nie",250,0.184,"Premium (0.1 - 0.2)",13.68
"Kawa ziarnista HAYB Konesso Gwatemala Santa Rosa Barrel Aged Espresso 1kg","HAYB Konesso Gwatemala Santa Rosa Barrel Aged Espresso do ekspresów to prawdziwa gratka dla poszukujących w kawie niespotykanych smaków. Kawa z Gwatemali starzona w procesie barrel aging, w beczce po alkoholu nabrała ciekawych akcentów smakowych.",119.99,"HAYB SPECIALITY COFFEE",4.8,10," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 1000g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Czerwone owoce Czekolada Bourbon",1,0.2,0.2,0.6," Gwatemala"," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Tak",1000,0.11999,"Premium (0.1 - 0.2)",15.1789327688082
"ZESTAW - Kawa ziarnista Kimbo Aroma Gold 3x1kg","Delikatna kawa ziarnista o wyczuwalnych nutach czekolady i karmelu. Kimbo Aroma Gold 1 kg to 100% arabica o niepowtarzalnym smaku i aromacie. Kawa jest polecana szczególnie dla miłośników włoskiego espresso.",207.87,"KIMBO",5,10," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Włochy"," Do ekspresu kolbowego Do ekspresu automatycznego"," 3000g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Średnia",NA,0.6,NA,0.2,0.6,NA," Blend / Mieszanki"," Espresso Kawa czarna"," Nie",3000,0.06929,"Mid-range (0.05 - 0.1)",15.8113883008419
"Kawa ziarnista Etno Cafe Colombia Medellin 1kg","Etno Cafe Colombia Medellin, to single arabika. Świetnie nadaje się do ekspresów kolbowych i automatycznych, jak i do kawiarek. Kawa cechuje się wysoką kwasowością i wyczuwalnym posmakiem owoców cytrusowych.",115,"ETNO CAFE",4.95,66," 100% Arabika"," Średni"," Niska",NA," Polska"," Do ekspresu kolbowego Do ekspresu automatycznego Do kawiarni Do biura"," 1000g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Delikatna"," Owoce cytrusowe Ciemna czekolada",0.2,NA,1,0.2," Kolumbia"," Single / Jednorodne"," Espresso Kawa czarna"," Nie",1000,0.115,"Premium (0.1 - 0.2)",40.213990102948
"Kawa ziarnista Hardy Milano 1kg","Mieszanka arabiki i robusty przeznaczona do ekspresów ciśnieniowych. Hardy Milano posiada kwaskowy smak z wyczuwalną nutą ciemnej czekolady, chleba tostowego i orzechów.",99,"HARDY",5,2," 90% Arabika, 10% Robusta"," Średni"," Średnia"," Kawa ziarnista"," Włochy",NA," 1000g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Chleb tostowy Ciemna czekolada Orzechy",0.6,0.2,1,0.6," Brazylia Honduras Indie"," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Nie",1000,0.099,"Mid-range (0.05 - 0.1)",7.07106781186548
"6x Kawa ziarnista illy Classico 250g","illy Classico to kawa ziarnista posiadająca lekko słodki, zrównoważony smak i wspaniały aromat. Illy Classico jest mieszanką 9 gatunków Arabik. Skład: 100% Arabica",206.94,"ILLY",4.99,157," 100% Arabika"," Średni"," Niska"," Kawa ziarnista Zestawy kawowe"," Włochy"," Do ekspresu kolbowego Do ekspresu automatycznego"," 1500g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Gęsta",NA,0.6,0.2,NA,0.2,NA," Blend / Mieszanki"," Espresso Kawa czarna"," Nie",1500,0.13796,"Premium (0.1 - 0.2)",62.5245207898469
"Kawa ziarnista Diemme Oro 500g","Doskonała 100% arabica, mieszanka 8 odmian ziaren pochodzących z Ameryki Środkowej i Południowej. Kawa Diemme Oro jest zrównoważona w smaku, bez nadmiernej goryczki i kwasowości. Opakowanie: 500g",63.99,"DIEMME",4.82,22," 100% Arabika"," Średni"," Niska",NA,NA," Do ekspresu kolbowego"," 500g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Delikatna",NA,0.6,0.2,0.2,0.2," Ameryka Południowa Ameryka Środkowa"," Blend / Mieszanki"," Espresso Kawa czarna"," Nie",500,0.12798,"Premium (0.1 - 0.2)",22.6078039623489
"Kawa ziarnista illy Decaf - bezkofeinowa 250g","Kawa illy Decaf to bezkofeinowa mieszanka ze znanej włoskiej palarni. Kawa o gęstej, bursztynowej piance, w jej smaku można wyczuć przyjemne nuty owocowe i orzechowe. Puszka świetnie posłuży jako prezent.",34.99,"ILLY",4.85,41," 100% Arabika"," Średni"," Bezkofeinowa"," Kawa ziarnista"," Włochy"," Do ekspresu kolbowego Do kawiarni Do ekspresu automatycznego"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Delikatna",NA,0.2,0.2,NA,0.6,NA," Blend / Mieszanki"," Espresso Kawa czarna"," Nie",250,0.13996,"Premium (0.1 - 0.2)",31.0551525515493
"6x Kawa ziarnista illy Espresso Decaffeinato - bezkofeinowa 250g","Kawa illy espresso Decaffeinato to bezkofeinowa mieszanka ze znanej włoskiej palarni. Kawa o gęstej, bursztynowej piance, w jej smaku można wyczuć wiele nutek (owoce, orzechy).",206.94,"ILLY",5,3," 100% Arabika"," Średni"," Bezkofeinowa"," Kawa ziarnista Zestawy kawowe"," Włochy"," Do ekspresu kolbowego Do ekspresu automatycznego"," 1500g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Delikatna",NA,0.2,0.2,NA,0.6,NA," Blend / Mieszanki"," Espresso Kawa czarna"," Nie",1500,0.13796,"Premium (0.1 - 0.2)",8.66025403784439
"Kawa ziarnista Lucaffe Exquisit 1kg","Lucaffe Exquisit to wyśmienita mieszanka ziaren arabiki z niewielkim dodatkiem (10%) robusty. Kawa o idealnym, niepowtarzalnym smaku i intensywnym aromacie. Mała zawartość kofeiny sprawia, że możemy delektować się jej smakiem o każdej porze dnia i nocy.",119.99,"LUCAFFE",4.94,36," 90% Arabika, 10% Robusta"," Średni"," Niska"," Kawa ziarnista"," Włochy"," Do ekspresu automatycznego Do ekspresu kolbowego Do biura"," 1000g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Gęsta"," Kakao",0.6,0.2,NA,0.6,NA," Blend / Mieszanki"," Cappuccino Espresso Kawa czarna Latte"," Nie",1000,0.11999,"Premium (0.1 - 0.2)",29.64
"ZESTAW - Kawa Lavazza Qualita Rossa 3x1kg","Zestaw kaw Lavazza Qualita Rossa 6x1 kg. Lavazza Qualita Rossa nadaje się do parzenia w każdy możliwy sposób. Lekko słodki smak i wspaniały aromat, to główne zalety tej kawy. Skład: 40% Arabica, 60% Robusta",205.77,"LAVAZZA",5,5," 40% Arabika, 60% Robusta"," Średni"," Wysoka"," Kawa ziarnista"," Włochy"," Do ekspresu automatycznego Do biura Do kawiarni Do ekspresu kolbowego"," 3000g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Gęsta"," Czekolada",1,0.2,NA,0.6," Afryka Brazylia"," Blend / Mieszanki"," Cappuccino Espresso Latte"," Nie",3000,0.06859,"Mid-range (0.05 - 0.1)",11.1803398874989
"Kawa ziarnista LaCava Certified Espresso Blend BIO 1kg","LaCava Certified to połączenie arabik specialty pochodzących z organicznych upraw z Meksyku i Peru. Jest to kawa wysokiej jakości przeznaczona do ekspresów, w której odnajdziemy nuty ciemnej czekolady, śliwki i wanilii.",169,"LACAVA SPECIALTY COFFEE ROASTERY",0,0," 100% Arabika"," 2/5"," Niska"," Kawa ziarnista"," Polska"," Do domu Do alternatyw Do ekspresu automatycznego Do ekspresu kolbowego"," 1000g"," Tradycyjny Ekspres automatyczny Ekspres kolbowy Kawiarka"," Trwała"," Ciemna czekolada Śliwka Wanilia",NA,0.6,0.8,0.6," Meksyk Peru"," Blend / Mieszanki"," Kawa czarna Kawa mleczna Cappuccino Latte Espresso"," Tak",1000,0.169,"Premium (0.1 - 0.2)",0
"Zestaw 3x1kg Kawa ziarnista Tchibo Espresso Sicilia Style","Mieszanka arabiki i robusty wypalona w prawdziwie sycylijskim stylu. Tchibo Espresso Sicilia Style charakteryzuje się intensywnym smakiem z wyraźnym posmakiem goryczy i wyrazistym aromatem.",148.47,"TCHIBO",5,8," Arabika, Robusta"," Ciemny"," Niska"," Kawa ziarnista",NA," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 3500g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała",NA,1,0.6,0.2,0.2,NA," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Nie",3500,0.04242,"Budget (< 0.05)",14.142135623731
"Zestaw 3x1kg Kawa ziarnista Tchibo Espresso Milano Style","Mieszanka ziaren arabiki wypalona w prawdziwie mediolańskim stylu. Tchibo Espresso Milano Style charakteryzuje się owocowym smakiem z wyraźnym posmakiem gorzkiej czekolady.",152.94,"TCHIBO",4.95,20," 100% Arabika"," Ciemny"," Niska"," Kawa ziarnista",NA," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 3500g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Gorzka czekolada",0.6,0.6,0.2,0.2,NA," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Nie",3500,0.0436971428571429,"Budget (< 0.05)",22.1370729772479
"Zestaw 3x1kg Kawa ziarnista Tchibo Caffé Crema Intense","Mieszanka ziaren arabiki pochodzących z Ameryki Łacińskiej, która jest przeznaczona do ekspresów ciśnieniowych. Tchibo Caffé Crema Intense posiada wyrazisty smak z wyczuwalną nutą gorzkiej czekolady.",160.35,"TCHIBO",5,38," 100% Arabika",NA," Niska"," Kawa ziarnista",NA," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 3500g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Gorzka czekolada",1,0.6,0.2,0.6,NA," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Nie",3500,0.0458142857142857,"Budget (< 0.05)",30.8220700148449
"Zestaw 3x1kg Kawa ziarnista Tchibo Barista Caffé Crema","Średnio palona kawa ziarnista przeznaczona do ekspresów automatycznych i kolbowych. Tchibo Barista Caffe Crema posiada łagodny smak z wyczuwalną goryczą i wyraźną owocową nutą.",193.02,"TCHIBO",4.98,111," 100% Arabika"," Średni"," Niska"," Kawa ziarnista",NA," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 3500g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała",NA,0.6,0.6,0.2,0.6,NA," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Nie",3500,0.0551485714285714,"Mid-range (0.05 - 0.1)",52.4675556892066
"Zestaw 3x1kg Kawa ziarnista Tchibo Barista Espresso","Ciemno palona kawa ziarnista przeznaczona do ekspresów automatycznych i kolbowych. Tchibo Barista Espresso posiada intensywny smak, w którym możemy wyczuć delikatne nuty orzechów.",193.02,"TCHIBO",5,61," 100% Arabika"," Ciemny"," Niska"," Kawa ziarnista",NA," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 3500g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała",NA,1,0.6,0.2,0.6,NA," Blend / Mieszanki"," Espresso Kawa czarna"," Nie",3500,0.0551485714285714,"Mid-range (0.05 - 0.1)",39.0512483795333
"Kawa ziarnista Java Gwatemala El Duranzo Winter Espresso 250g","Wyjątkowa kawa ziarnista specialty Gwatemala El Duranzo Winter Espresso o wyrazistym profilu smakowym z nutami suszonej żurawiny, pomarańczy, brzoskwini i kakao. Idealna do espresso oraz kaw mlecznych, w sam raz na zimowe wieczory.",55,"JAVA COFFEE",0,0," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 250g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Żurawina Pomarańcze Brzoskwinie Kakao",0.6,0.2,0.6,0.6," Gwatemala"," Single / Jednorodne"," Espresso Kawa czarna Cappuccino Latte"," Tak",250,0.22,"Luxury (> 0.2)",0
"Kawa ziarnista Ferucci Bella Crema 1kg","Ceimno palona mieszanka brazylijskiej arabiki i azjatyckiej robusty, przeznaczona do ciśnieniowych metod parzenia. Ferucci Bella Crema ma intensywny, mocno czekoladowy smak.",109,"FERUCCI",5,2," 50% Arabika, 50% Robusta"," 6/6"," Wysoka"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 1000g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Czekolada Migdały Krem",0.9,NA,0.2,0.4," Wietnam Brazylia"," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Nie",1000,0.109,"Premium (0.1 - 0.2)",7.07106781186548
"Kawa ziarnista Paloma Colombia Red Fruits 200g","Jasno palona kolumbijska arabika jakości specialty przeznaczona do przelewowych metod parzenia. Colombia Red Fruits ma słodki smak z wyczuwalną nutą czerwonych owoców, wiśni i mango.",104,"PALOMA",0,0," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 200g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Czerwone owoce Wiśnia Mango",0.6,0.2,0.2,1," Kolumbia"," Single / Jednorodne"," Kawa czarna"," Tak",200,0.52,"Luxury (> 0.2)",0
"Kawa ziarnista HAYB Sie Przelewa Tropik 500g","Jasno palona kolumbijska arabika przeznaczona do przelewowych metod parzenia. HAYBY Sie Przelewa Tropik posiada słodki smak z nutami owoców tropikalnych, rumu i karmelu.",93,"HAYB SPECIALITY COFFEE",5,1," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista",NA,NA," 500g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Owoce tropikalne Rum Karmel",0.6,0.2,0.2,1," Kolumbia"," Single / Jednorodne"," Kawa czarna"," Tak",500,0.186,"Premium (0.1 - 0.2)",5
"Kawa ziarnista HAYB Sie Przelewa Owoc 500g","Jasno palona stuprocentowa arabika z Rwandy, która jest przeznaczona do przygotowania metodami przelewowymi. HAYB Sie Przelewa Owoc posiada słodki smak z delikatną nutą owocową.",93,"HAYB SPECIALITY COFFEE",5,2," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska",NA," 500g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Syfon"," Delikatna"," Owoce",0.6,0.2,0.6,1," Rwanda"," Single / Jednorodne"," Kawa czarna"," Tak",500,0.186,"Premium (0.1 - 0.2)",7.07106781186548
"Kawa ziarnista HAYB Sie Przelewa Kwiat 500g","Jasno palona stuprocentowa arabika z Etiopii, która jest przeznaczona do przygotowania metodami przelewowymi. HAYB Sie Przelewa Kwiat posiada delikatnie słodki smak z przyjemnym kwiatowym aromatem.",93,"HAYB SPECIALITY COFFEE",5,2," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska",NA," 500g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Syfon"," Delikatna"," Owoce Kwiaty",0.6,0.2,0.2,1," Etiopia"," Single / Jednorodne"," Kawa czarna"," Tak",500,0.186,"Premium (0.1 - 0.2)",7.07106781186548
"Kawa ziarnista HAYB Sie Przelewa Klasyk 500g","Jasno palona stuprocentowa arabika, która najlepiej sprawdzi się do przygotowania w ekspresach przelewowych. HAYB Sie Przelewa posiada delikatny, słodki smak, w którym wyczujemy mleczną czekoladę, kakao i orzechy.",72,"HAYB SPECIALITY COFFEE",5,2," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska",NA," 500g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Syfon"," Delikatna",NA,0.6,0.2,0.2,0.6," Brazylia"," Blend / Mieszanki"," Kawa czarna"," Tak",500,0.144,"Premium (0.1 - 0.2)",7.07106781186548
"Kawa ziarnista LaCava Kenya Rung'eto Kii 250g","Wysokiej jakości jasno palona arabika specialty z Kenii przeznaczona do przelewowych metod parzenia. LaCava Kenya Rung'eto Kii przyjemnie owocowa kawa, w której odnajdziemy nuty czarnej porzeczki, pomarańczy i herbaty.",65,"LACAVA SPECIALTY COFFEE ROASTERY",5,1," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Pomarańcze Czarna herbata Czarna porzeczka",0.6,0.2,1,1," Kenia"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.26,"Luxury (> 0.2)",5
"Kawa ziarnista LaCava Kenya Rung'eto Kii 1kg","Domyślną nazwę, opis jak i inne parametry dodawanego produktu zmienisz udając się na stronę TOWARY \ Ustawienia nowo dodawanego produktu.",219,"LACAVA SPECIALTY COFFEE ROASTERY",5,2," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 1000g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Czarna herbata Pomarańcze Czarna porzeczka",0.6,0.2,1,1," Kenia"," Single / Jednorodne"," Kawa czarna"," Tak",1000,0.219,"Luxury (> 0.2)",7.07106781186548
"Kawa ziarnista LaCava Colombia La Reserva 250g","Jednorodna arabika jakości specialty przeznaczona do przelewowych metod parzenia. LaCava Colombia La Reserva jest idealna dla miłośników dużej kwasowości w kawie. Wyczujesz tu nuty kwiatów, czerwonych owoców, miodu oraz brzoskwini.",79,"LACAVA SPECIALTY COFFEE ROASTERY",0,0," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Brzoskwinie Czerwone owoce Kwiaty Miód",NA,NA,1,0.8," Kolumbia"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.316,"Luxury (> 0.2)",0
"Kawa ziarnista LaCava Rwanda Muhondo Filter 250g","Wysokiej jakości arabika Single Origin typu Specialty przeznaczona do metod przelewowych. LaCava Rwanda Muhondo to owocowa kawa z nutami białych kwiatów, brzoskwini, czerwonej jagody i mandarynki.",65,"LACAVA SPECIALTY COFFEE ROASTERY",0,0," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Brzoskwinie Czerwone jagody Mandarynka Białe kwiaty",NA,NA,0.6,0.6," Rwanda"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.26,"Luxury (> 0.2)",0
"Kawa ziarnista LaCava Colombia Diego Bermudez Filter 200g","Jasno palona kolumbijska arabika specialty przeznaczona do alternatywnych metod parzenia. LaCava Colombia Diego Bermudez została poddana obróbce anaerobic z dodatkiem herbaty matcha, przez co zyskała unikalny profil smakowy.",99,"LACAVA SPECIALTY COFFEE ROASTERY",0,0," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 200g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Herbata matcha Zioła Kwiaty",NA,NA,0.8,0.8," Kolumbia"," Single / Jednorodne"," Kawa czarna"," Tak",200,0.495,"Luxury (> 0.2)",0
